id,target
12979,0.00014836140326224267
2960,0.9999674558639526
2473,0.9995536208152771
2594,0.9999697208404541
3561,0.9997621178627014
20045,2.1459802155732177e-05
927,1.6626161141175544e-06
10784,1.1958253708144184e-05
2973,0.9999313354492188
15860,3.359327138241497e-06
17840,5.251988841337152e-05
11942,9.24921732803341e-06
733,0.00010823755292221904
12973,3.202000925739412e-06
13842,1.1070073924202006e-06
23712,4.973992417944828e-06
20365,7.102953077264829e-06
20096,8.820199582260102e-06
5262,0.9999018907546997
13991,2.270320464958786e-06
8684,4.940733560943045e-06
13417,8.993644655674871e-07
4118,0.99974125623703
18130,1.0235498848487623e-05
24318,2.0420453438418917e-05
10451,5.582607627729885e-06
18400,6.076497811591253e-06
7722,0.005929023027420044
11499,5.679374226019718e-06
12873,3.1498314001510153e-06
22324,0.9998699426651001
16539,2.411027026028023e-06
12265,0.0002530948258936405
21153,8.936356607591733e-05
16354,6.669291906291619e-05
22309,0.99985671043396
19373,6.220411887625232e-05
17062,0.015928246080875397
11025,0.00044493607128970325
10578,3.4043987398035824e-06
18887,1.2896380212623626e-06
10993,1.9955283278250135e-05
21800,0.9998468160629272
1925,0.0002408462605671957
22743,7.82821916800458e-06
11261,3.65415189662599e-06
797,2.0551720808725804e-05
14063,5.938652975601144e-06
15002,1.1209797321498627e-06
5364,0.9998676776885986
5931,0.9992151260375977
1949,5.391660306486301e-05
13373,3.4264107853232417e-06
10611,3.2859277325769654e-06
1502,1.2888842775282683e-06
16533,0.000510235084220767
5885,0.9998748302459717
18284,9.491354285273701e-05
10091,4.0819705304784293e-07
6125,0.155705064535141
5892,0.9998968839645386
18065,0.00018558709416538477
3714,0.9971994161605835
17221,3.196091256540967e-06
2049,8.14360555523308e-06
4138,0.9996219873428345
8184,7.94155948824482e-06
7855,9.307516302214935e-05
9774,2.4861288693500683e-05
1279,0.008265935815870762
1029,3.621250698415679e-06
18410,1.8321075913263485e-05
4949,0.9998751878738403
1805,0.9999978542327881
4513,0.99993896484375
14930,3.1510212465946097e-06
17128,1.7956054989554104e-06
9738,1.2701308378382237e-06
22011,0.99959796667099
5936,0.9924781322479248
4639,0.9999165534973145
1032,9.811718337005004e-05
21236,0.00013032800052314997
6254,1.8570723341326811e-06
474,8.32884143164847e-06
1164,0.00026600726414471865
8132,1.1805587746493984e-05
3113,0.9999872446060181
18581,4.993167021893896e-05
18048,3.7885862980147067e-07
2667,0.9999550580978394
5511,0.9999724626541138
2215,0.999728262424469
9467,1.2280032933631446e-05
8626,5.794759545096895e-06
11413,2.041823427134659e-05
7984,1.1774410268117208e-05
16750,4.577669460559264e-05
762,5.409786808741046e-06
2905,0.9999985694885254
9096,1.1473628092062427e-06
5952,0.9998883008956909
13449,8.237878319050651e-06
24709,0.00014564479351975024
10732,0.0008522924617864192
2336,0.9999978542327881
16662,7.229789957818866e-07
9281,9.701137059892062e-06
16590,1.07364860468806e-06
23601,1.0411797575216042e-06
10605,6.306798695732141e-06
1721,1.2754851468343986e-06
19806,6.791046871512663e-07
18919,2.2423023438022938e-06
15850,1.5142670690693194e-06
14998,1.2017184189971886e-06
5983,0.999980092048645
9635,1.7633052266319282e-05
11093,6.833457882748917e-05
5523,0.9998006224632263
24153,3.668051431304775e-05
173,0.9999642372131348
9130,5.77625360165257e-06
10935,1.2937782685185084e-06
3967,0.999778687953949
7757,3.70641027984675e-05
17515,1.0267752259096596e-05
21932,0.9999123811721802
6992,7.690518941672053e-06
